# opt_x	opt_y	sar_x	sar_y
994.7	1011.9	985.6	1017.9
991.7	922.6	987.0	920.4
980.7	174.3	981.6	175.6
970.0	327.6	967.0	334.6
948.3	426.3	950.7	427.5
943.6	241.0	939.7	240.7
939.7	716.4	949.3	710.2
931.0	188.3	938.6	189.3
18.2	695.3	22.4	692.7
913.8	366.0	922.7	365.9
900.5	282.1	902.9	283.7
889.0	365.8	879.1	356.4
873.2	88.5	871.7	92.9
27.8	699.5	32.8	703.6
859.9	809.1	861.1	809.4
859.6	756.1	859.2	762.8
854.4	801.7	846.1	808.8
32.9	719.6	34.8	726.8
847.8	1008.6	848.3	1012.3
842.4	959.3	836.4	949.8
841.9	965.6	840.6	961.9
836.0	671.6	838.1	675.3
36.6	687.3	35.9	695.2
38.6	713.8	39.0	714.7
823.4	1017.3	819.2	1015.8
823.1	847.7	815.7	855.6
822.6	700.2	816.6	704.8
821.1	683.5	823.6	692.3
815.0	673.2	816.4	676.6
813.2	962.7	805.3	963.8
810.0	849.7	811.2	851.4
802.1	830.8	808.3	824.9
800.3	174.7	793.5	184.4
798.5	711.6	795.2	715.2
797.1	386.5	792.0	391.2
794.8	662.3	803.7	662.7
779.7	599.5	783.4	605.7
772.5	664.9	768.6	671.3
759.1	198.3	762.4	202.4
741.6	697.1	745.8	690.3
741.2	715.6	746.5	706.0
734.6	250.1	733.8	242.9
734.1	737.5	734.6	737.0
727.5	893.1	726.9	893.1
56.4	697.9	59.9	702.4
711.5	 7.5	718.4	 9.7
709.3	281.9	716.2	284.1
689.3	18.5	692.1	18.9
688.4	 9.6	680.6	14.0
63.5	142.0	65.3	147.9
667.7	661.4	673.5	656.7
647.7	675.4	657.1	666.1
69.5	674.2	61.8	681.0
623.5	630.9	615.3	628.5
622.0	21.3	629.5	27.0
617.7	609.0	614.6	608.9
605.1	639.8	599.7	635.9
598.3	589.7	594.9	589.5
591.9	280.1	596.9	271.8
589.4	665.0	590.6	666.8
586.7	407.1	586.9	406.7
578.9	658.0	576.0	666.1
572.4	375.1	562.4	377.6
571.3	318.7	577.1	321.1
566.0	683.1	572.8	681.9
564.2	628.8	565.0	628.9
553.5	643.2	552.4	633.4
552.9	386.4	558.3	386.4
545.9	643.7	536.6	646.9
528.0	878.9	528.7	879.6
498.5	158.7	504.5	159.5
495.8	627.8	490.1	631.8
452.6	552.6	452.8	559.8
446.3	611.4	452.7	608.8
445.6	630.1	441.2	630.0
423.3	861.5	425.1	865.4
418.2	610.2	420.3	614.8
403.2	675.5	412.3	683.5
395.8	708.4	393.2	710.0
366.8	674.8	372.6	677.0
366.1	698.1	357.7	688.7
357.7	101.5	364.0	98.7
352.6	648.4	346.9	647.5
307.5	618.5	313.8	621.4
247.8	544.3	256.8	548.0
245.9	599.3	246.9	600.7
229.9	599.3	232.5	602.5
223.2	528.2	215.0	530.9
196.8	560.6	196.5	560.6
161.5	530.2	159.5	526.2
 2.5	601.2	 3.9	605.5
800.7	808.0	807.8	814.9
806.6	936.7	812.4	928.9
793.6	688.6	793.3	688.5
350.5	673.4	354.9	674.3
352.1	826.1	343.3	820.2
21.7	717.0	23.0	720.9
292.6	616.0	294.8	618.6
585.1	634.8	584.1	632.2
588.4	680.3	591.6	682.6
832.9	959.1	828.4	950.6
464.6	570.5	456.0	576.2
596.8	654.2	589.6	647.5
364.8	669.0	361.7	667.4
743.5	666.0	751.4	668.1
875.4	528.3	880.1	529.8
188.7	952.7	196.3	961.5
973.4	917.5	966.3	926.9
20.0	700.8	24.3	702.0
735.7	704.4	726.7	699.1
969.1	703.5	972.9	695.4
298.9	620.8	301.3	625.0
727.7	778.9	728.0	772.6
619.2	571.7	618.8	581.7
619.7	675.5	615.1	670.8
717.0	897.6	712.9	901.3
962.4	142.6	957.2	150.3
934.4	776.3	940.9	771.8
642.5	818.9	636.6	814.1
825.7	995.2	816.7	988.7
945.8	892.5	936.5	899.5
945.4	723.9	940.1	716.3
414.6	640.9	419.8	648.5
804.7	880.8	799.3	877.9
806.4	715.1	811.2	723.9
93.1	980.6	96.0	981.5
813.2	930.9	816.3	923.0
688.3	728.3	697.0	723.4
650.2	640.8	649.5	630.9
601.1	657.5	604.2	657.4
876.6	800.6	871.1	803.4
10.2	707.4	11.3	712.4
931.8	169.8	933.5	168.1
636.7	606.1	637.0	608.2
397.6	916.3	405.6	924.1
832.0	622.9	838.0	631.5
304.0	951.5	306.0	954.9
384.7	694.9	390.5	696.0
959.5	174.3	964.6	175.5
453.0	362.1	459.7	365.9
559.8	644.4	562.7	636.0
322.8	959.6	329.3	958.5
786.6	195.3	784.7	204.9
351.8	639.1	343.5	635.1
662.0	625.5	670.4	627.6
357.2	667.2	349.2	663.2
587.5	572.2	596.7	575.2
769.0	711.7	766.5	712.4
588.3	694.9	592.5	694.1
773.3	688.1	776.9	685.3
362.5	728.9	367.9	730.6
819.3	829.9	818.5	829.1
726.4	828.1	732.4	824.7
448.0	886.4	456.7	881.8
957.8	241.5	964.3	234.0
