# opt_x	opt_y	sar_x	sar_y
285.4	766.3	283.4	769.4
285.0	52.6	280.7	51.1
292.7	308.4	287.7	305.6
296.7	75.4	294.2	73.8
269.7	762.8	264.6	757.0
302.7	298.6	299.0	297.1
13.6	391.3	 7.2	393.3
253.4	255.9	252.7	253.4
15.2	581.4	14.2	581.2
252.1	877.0	248.2	875.3
250.5	43.3	247.0	42.8
799.5	660.0	791.5	668.8
807.6	97.6	800.6	93.8
242.9	560.5	236.2	562.0
240.9	920.0	243.0	924.4
327.3	416.3	333.7	424.9
237.7	578.7	228.1	586.2
236.5	596.4	235.5	601.5
529.9	304.1	524.3	304.3
236.0	682.2	240.2	686.7
29.9	600.8	21.3	600.3
33.4	357.5	28.6	366.7
230.3	343.0	232.7	339.2
225.2	67.4	219.5	61.0
509.5	143.4	500.4	135.9
216.6	143.4	212.4	136.8
966.7	867.1	975.4	862.6
212.4	260.9	206.8	258.1
47.6	367.4	57.2	369.0
211.2	303.2	217.2	300.9
208.1	670.0	204.2	676.4
349.5	856.5	342.5	849.4
206.5	504.2	200.3	498.3
351.4	356.7	355.1	363.3
352.5	320.7	344.1	326.6
352.7	294.5	347.7	303.5
950.3	314.5	947.5	313.7
61.6	583.9	58.9	584.8
62.0	464.4	62.9	471.0
844.2	155.9	852.4	161.0
485.6	375.4	475.7	369.8
361.6	335.7	356.9	341.9
846.6	215.0	850.8	208.6
178.2	925.2	174.4	926.8
366.0	257.8	372.4	258.1
67.6	321.2	74.3	324.1
692.5	463.1	691.2	470.7
374.3	 5.5	375.3	10.6
164.1	503.8	159.0	497.5
382.9	845.5	375.1	842.8
389.3	774.4	394.8	784.1
145.8	314.7	153.5	317.2
460.9	166.9	469.0	168.1
143.6	423.8	136.6	420.5
82.2	559.8	80.3	553.2
82.6	665.4	79.5	661.0
640.4	657.4	634.8	657.8
410.8	857.3	415.7	857.7
907.5	560.4	899.4	551.2
88.0	518.0	80.0	524.6
131.6	332.1	137.9	333.1
416.3	416.0	425.4	415.4
664.4	479.6	672.0	475.0
664.1	463.2	654.2	469.9
642.2	472.0	641.1	470.4
656.9	366.2	662.4	364.6
117.9	818.6	115.5	818.5
887.5	1003.8	877.7	1004.3
649.9	455.1	654.1	460.7
111.4	582.2	106.9	584.5
111.0	552.9	108.4	548.5
110.6	536.3	117.0	532.8
109.5	356.2	104.7	359.1
106.9	166.8	106.4	166.5
436.6	375.1	431.0	371.5
295.4	87.6	287.8	78.6
789.9	86.4	782.6	92.6
763.6	659.4	769.4	651.0
651.0	853.7	652.5	856.0
261.7	407.6	256.7	399.2
260.4	919.1	253.2	915.4
126.2	603.1	122.8	594.7
640.1	692.5	636.2	696.5
324.9	962.6	327.9	957.6
402.4	362.2	395.3	361.4
26.2	712.7	22.9	710.5
28.5	435.1	22.2	438.3
73.2	428.7	79.0	426.6
281.8	761.6	276.4	760.6
691.2	302.5	682.0	302.6
723.2	316.3	731.6	308.6
68.8	271.7	66.0	274.6
723.2	665.9	718.1	675.6
218.4	287.6	210.1	293.8
217.1	692.0	226.5	685.4
276.8	1001.9	269.8	1008.9
291.8	417.5	298.3	409.8
279.2	772.0	273.8	770.9
210.7	315.3	209.5	314.0
49.3	574.9	45.5	573.6
203.2	405.5	194.1	400.5
412.8	976.9	406.5	970.2
281.8	943.2	276.0	946.1
111.3	862.2	108.9	862.8
810.8	494.5	807.8	490.9
810.7	168.1	810.7	164.5
