# opt_x	opt_y	sar_x	sar_y
468.0	247.0	468.0	239.0
230.0	470.0	231.0	466.0
231.0	296.0	226.0	296.0
864.0	432.0	868.0	434.0
239.0	779.0	239.0	775.0
46.0	738.0	48.0	740.0
647.0	42.0	639.0	39.0
266.0	532.0	264.0	531.0
454.0	202.0	460.0	199.0
454.0	296.0	459.0	296.0
398.0	230.0	398.0	236.0
118.0	900.0	121.0	893.0
166.0	30.0	163.0	28.0
516.0	131.0	518.0	127.0
316.0	886.0	320.0	882.0
492.0	64.0	491.0	65.0
475.0	43.0	467.0	41.0
539.0	156.0	545.0	157.0
1019.0	189.0	1011.0	193.0
199.0	426.0	202.0	433.0
681.0	200.0	684.0	201.0
20.0	179.0	18.0	174.0
990.0	139.0	990.0	135.0
681.0	323.0	688.0	327.0
451.0	407.0	444.0	403.0
297.0	536.0	302.0	540.0
424.0	891.0	417.0	888.0
426.0	341.0	433.0	339.0
484.0	180.0	487.0	175.0
440.0	26.0	443.0	23.0
411.0	837.0	413.0	832.0
92.0	127.0	97.0	129.0
164.0	156.0	160.0	160.0
588.0	83.0	584.0	84.0
322.0	247.0	317.0	248.0
264.0	81.0	266.0	88.0
68.0	692.0	71.0	691.0
602.0	160.0	602.0	155.0
445.0	496.0	437.0	494.0
143.0	640.0	146.0	638.0
926.0	352.0	923.0	353.0
531.0	482.0	534.0	476.0
377.0	250.0	380.0	243.0
23.0	251.0	26.0	249.0
294.0	51.0	297.0	52.0
94.0	853.0	90.0	855.0
727.0	122.0	720.0	117.0
383.0	94.0	385.0	88.0
834.0	404.0	833.0	404.0
356.0	330.0	357.0	329.0
144.0	36.0	145.0	35.0
461.0	230.0	468.0	228.0
 2.0	42.0	 6.0	46.0
374.0	330.0	373.0	336.0
581.0	95.0	575.0	92.0
577.0	328.0	574.0	327.0
144.0	858.0	148.0	855.0
106.0	245.0	108.0	242.0
491.0	37.0	490.0	38.0
301.0	346.0	308.0	348.0
464.0	1019.0	464.0	1022.0
475.0	291.0	478.0	284.0
960.0	562.0	966.0	560.0
737.0	572.0	735.0	569.0
434.0	304.0	438.0	303.0
303.0	132.0	310.0	130.0
491.0	307.0	486.0	303.0
87.0	864.0	86.0	860.0
838.0	988.0	840.0	995.0
509.0	544.0	510.0	546.0
220.0	74.0	222.0	69.0
 8.0	31.0	 7.0	35.0
470.0	263.0	468.0	259.0
486.0	130.0	486.0	135.0
626.0	27.0	622.0	30.0
348.0	776.0	348.0	770.0
376.0	396.0	371.0	403.0
317.0	915.0	325.0	914.0
892.0	76.0	897.0	83.0
38.0	385.0	32.0	387.0
535.0	877.0	542.0	882.0
123.0	154.0	124.0	157.0
752.0	47.0	749.0	42.0
786.0	400.0	786.0	395.0
770.0	287.0	772.0	288.0
219.0	375.0	220.0	371.0
619.0	817.0	620.0	819.0
651.0	336.0	651.0	343.0
832.0	592.0	833.0	596.0
620.0	406.0	617.0	411.0
148.0	205.0	143.0	205.0
777.0	168.0	784.0	165.0
215.0	931.0	214.0	933.0
630.0	356.0	630.0	348.0
506.0	265.0	505.0	261.0
518.0	974.0	519.0	969.0
839.0	146.0	838.0	138.0
881.0	554.0	874.0	553.0
 2.0	372.0	 5.0	368.0
610.0	470.0	611.0	466.0
145.0	603.0	145.0	606.0
428.0	31.0	432.0	29.0
388.0	365.0	389.0	365.0
234.0	72.0	239.0	79.0
612.0	341.0	617.0	338.0
526.0	74.0	529.0	77.0
436.0	353.0	437.0	355.0
912.0	35.0	911.0	32.0
604.0	296.0	602.0	302.0
296.0	343.0	291.0	342.0
353.0	93.0	357.0	92.0
241.0	560.0	239.0	559.0
241.0	990.0	240.0	986.0
629.0	825.0	627.0	826.0
546.0	303.0	547.0	306.0
387.0	984.0	390.0	982.0
258.0	214.0	263.0	213.0
623.0	202.0	627.0	206.0
547.0	969.0	541.0	967.0
970.0	47.0	961.0	47.0
634.0	48.0	637.0	44.0
502.0	135.0	502.0	137.0
12.0	576.0	 8.0	573.0
82.0	1008.0	83.0	1009.0
433.0	272.0	439.0	277.0
136.0	874.0	138.0	872.0
257.0	873.0	253.0	876.0
530.0	336.0	534.0	339.0
188.0	57.0	189.0	63.0
347.0	274.0	353.0	270.0
76.0	132.0	83.0	137.0
583.0	997.0	581.0	996.0
684.0	141.0	685.0	142.0
502.0	508.0	510.0	511.0
485.0	863.0	480.0	863.0
196.0	366.0	195.0	365.0
99.0	685.0	100.0	688.0
53.0	480.0	58.0	480.0
730.0	238.0	729.0	240.0
255.0	325.0	246.0	325.0
250.0	1008.0	248.0	1011.0
732.0	309.0	731.0	314.0
858.0	162.0	859.0	167.0
223.0	275.0	221.0	283.0
564.0	276.0	566.0	273.0
374.0	976.0	368.0	978.0
402.0	925.0	402.0	930.0
24.0	565.0	24.0	566.0
296.0	170.0	292.0	167.0
371.0	448.0	371.0	448.0
126.0	121.0	119.0	122.0
474.0	1012.0	477.0	1015.0
539.0	44.0	537.0	44.0
744.0	135.0	739.0	131.0
179.0	575.0	182.0	582.0
378.0	947.0	377.0	951.0
211.0	124.0	210.0	122.0
401.0	363.0	400.0	365.0
498.0	463.0	498.0	456.0
36.0	719.0	36.0	721.0
680.0	42.0	680.0	45.0
917.0	497.0	924.0	494.0
502.0	323.0	505.0	326.0
912.0	22.0	914.0	17.0
159.0	21.0	158.0	21.0
960.0	37.0	964.0	35.0
65.0	153.0	62.0	145.0
351.0	236.0	348.0	229.0
197.0	51.0	195.0	56.0
476.0	64.0	478.0	65.0
907.0	364.0	905.0	362.0
