# opt_x	opt_y	sar_x	sar_y
27.0	228.0	28.0	227.0
508.0	171.0	508.0	171.0
412.0	119.0	413.0	120.0
309.0	206.0	309.0	208.0
634.0	106.0	634.0	104.0
596.0	46.0	594.0	46.0
553.0	228.0	553.0	226.0
660.0	 9.0	662.0	 9.0
603.0	 5.0	602.0	 6.0
846.0	82.0	844.0	82.0
84.0	397.0	85.0	397.0
74.0	392.0	74.0	392.0
67.0	281.0	67.0	280.0
40.0	323.0	40.0	322.0
63.0	311.0	63.0	311.0
521.0	499.0	519.0	499.0
892.0	376.0	893.0	376.0
930.0	510.0	932.0	510.0
39.0	619.0	37.0	619.0
155.0	684.0	156.0	684.0
357.0	697.0	357.0	696.0
266.0	581.0	266.0	582.0
320.0	760.0	322.0	760.0
728.0	575.0	729.0	575.0
797.0	659.0	797.0	661.0
143.0	797.0	142.0	797.0
342.0	931.0	342.0	932.0
805.0	979.0	803.0	979.0
