# opt_x	opt_y	sar_x	sar_y
 8.9	677.7	 9.5	659.4
658.6	1007.1	685.2	1009.2
1004.8	590.0	1007.9	635.9
641.6	981.4	654.0	974.9
32.5	482.4	38.4	425.0
40.0	1003.0	31.2	1019.1
41.9	958.1	63.8	948.7
632.2	994.1	655.6	987.8
46.2	793.6	49.1	774.6
51.4	726.4	59.9	718.0
55.6	601.3	61.4	622.5
59.6	892.8	59.9	893.7
988.1	599.5	986.0	631.2
60.3	993.2	69.0	989.4
60.8	570.5	69.8	374.4
62.0	749.3	70.4	714.2
63.9	 3.9	81.3	 7.0
613.6	1010.2	628.0	1006.8
986.4	406.8	998.0	715.8
985.7	507.7	990.1	510.3
597.7	539.4	605.4	530.9
78.3	841.5	90.2	785.7
78.4	750.2	85.0	734.2
595.2	398.9	605.9	402.9
79.3	765.7	84.4	761.6
79.7	555.4	92.9	366.4
81.8	771.7	98.0	764.2
87.4	781.6	101.3	781.1
977.1	578.6	981.1	592.3
90.4	756.2	97.6	748.2
972.7	345.1	973.6	713.7
95.4	764.7	107.2	761.0
99.2	739.7	113.3	717.6
970.9	518.3	966.8	535.7
101.2	599.9	108.1	604.1
768.9	391.5	777.1	385.7
518.6	881.3	553.6	876.3
109.7	717.4	125.4	695.1
109.9	791.0	120.4	773.1
515.5	629.1	545.5	838.6
113.4	770.4	121.4	761.1
497.6	892.3	538.0	898.2
493.3	646.2	530.2	796.7
486.4	923.0	499.0	911.2
485.2	880.0	487.6	880.2
120.6	761.0	130.6	761.0
478.1	475.6	501.3	475.2
473.5	929.4	480.8	928.9
125.5	748.1	136.1	733.4
685.5	977.0	709.4	981.3
127.9	734.3	135.7	704.9
798.7	647.0	844.7	667.4
461.3	912.7	477.2	913.8
945.6	509.0	947.6	527.9
136.6	749.8	140.6	740.1
456.7	974.1	486.9	968.6
687.1	495.0	716.1	494.5
808.0	489.5	837.1	489.4
810.9	578.6	843.0	577.5
140.4	715.8	148.6	678.9
140.5	539.5	150.6	553.7
688.4	463.0	705.5	467.3
688.9	384.4	694.0	385.9
149.4	796.5	155.1	778.5
431.6	942.5	433.9	933.5
150.9	1003.9	158.7	993.7
153.0	908.3	157.6	921.9
428.6	560.1	472.4	561.3
937.1	425.6	943.9	448.6
820.2	557.4	857.9	548.9
821.4	595.7	860.0	596.5
408.4	522.8	448.9	526.1
407.7	428.6	438.0	426.6
407.3	907.8	432.9	912.8
405.6	461.9	417.4	477.8
402.3	421.5	423.9	412.9
399.5	679.6	403.6	680.4
397.6	539.5	419.5	558.6
395.1	869.8	405.7	867.1
929.0	476.7	941.6	477.5
394.8	717.7	415.7	729.7
391.9	954.2	411.2	957.5
389.3	669.5	409.1	672.8
385.1	469.4	403.5	476.9
832.5	490.8	859.8	491.1
384.2	693.5	388.2	776.2
832.8	376.3	846.3	357.5
380.1	624.6	188.1	455.0
380.0	421.0	399.4	409.5
379.5	695.3	379.1	777.6
835.4	366.4	845.8	332.9
377.3	455.8	390.7	455.0
692.5	405.4	697.9	405.3
372.1	507.9	388.0	505.4
370.7	994.8	358.4	992.2
366.2	420.3	377.6	407.2
363.0	473.1	367.9	483.3
360.8	506.5	357.9	520.3
195.2	882.4	217.8	883.8
359.7	954.5	391.6	960.8
838.6	513.8	850.8	541.3
357.0	726.2	357.5	740.6
357.0	452.7	372.7	444.8
343.1	615.0	332.2	607.6
339.4	451.6	353.1	443.3
907.2	365.3	902.5	741.3
906.9	459.5	913.3	485.9
333.9	560.4	333.8	558.4
333.4	959.6	349.1	962.3
333.4	880.1	355.7	877.3
333.1	860.8	356.9	870.0
331.1	471.8	346.0	471.2
231.0	896.0	297.3	888.4
324.3	509.4	350.0	505.6
895.8	436.6	905.9	457.9
315.5	441.3	333.1	440.9
312.4	699.6	301.9	703.9
891.5	482.8	899.8	515.3
304.5	529.8	319.6	542.5
301.2	503.1	317.0	506.4
246.7	833.3	278.4	823.5
297.6	440.7	313.0	434.0
248.6	931.6	306.8	933.1
249.7	993.3	281.2	994.3
867.0	493.3	874.6	504.0
249.9	960.2	242.2	966.0
294.0	605.4	289.8	610.6
286.7	851.8	296.9	856.4
258.3	909.8	328.9	906.4
886.0	423.3	891.1	456.1
259.3	438.8	258.6	429.6
259.4	719.3	261.8	706.1
283.0	820.9	302.5	790.3
280.3	834.9	308.3	838.6
880.9	486.3	890.2	486.6
880.8	498.3	887.0	561.0
264.7	686.8	261.6	685.4
879.2	428.5	882.3	430.5
337.4	430.9	353.1	432.4
416.7	485.2	449.6	475.2
204.0	828.7	209.9	823.4
595.0	456.7	613.5	471.4
621.8	974.1	656.6	969.9
905.0	633.5	924.4	668.5
