# opt_x	opt_y	sar_x	sar_y
1015.9	968.5	1017.6	970.1
326.5	801.0	323.0	800.7
382.8	413.4	381.5	414.2
385.9	869.2	382.4	868.9
11.0	11.8	 8.3	 9.9
402.6	716.6	400.9	717.2
402.9	853.6	403.4	855.7
408.4	583.0	410.0	582.6
408.4	872.4	407.9	874.8
408.9	645.6	407.6	644.4
15.2	37.4	12.3	36.8
414.6	670.8	412.1	671.0
448.7	779.2	446.6	779.2
454.7	660.1	452.2	661.2
461.4	773.5	459.6	773.0
471.6	668.2	473.7	671.2
476.2	398.3	478.3	397.2
477.3	661.5	477.7	660.5
478.3	861.3	476.6	861.5
483.2	672.0	484.5	670.1
484.7	810.0	485.1	807.6
490.1	660.6	490.6	661.6
493.5	691.4	491.0	693.9
499.3	788.8	498.0	789.5
502.1	684.6	501.0	685.0
541.7	847.0	538.7	846.0
220.8	84.1	217.6	85.5
557.6	864.6	559.0	864.0
560.9	837.0	558.5	836.1
581.3	874.9	582.3	875.3
581.9	759.9	585.0	758.1
583.8	858.1	582.7	857.1
205.5	250.7	203.0	248.5
614.1	805.4	613.4	804.7
618.2	904.0	618.0	903.7
620.0	946.8	617.7	947.5
984.8	948.7	983.0	950.5
621.3	800.8	620.4	800.8
626.4	931.3	628.1	931.1
980.9	915.3	983.8	917.5
629.1	792.7	626.2	793.3
633.3	799.5	631.1	798.6
634.0	809.1	633.6	810.1
643.2	927.6	643.6	927.9
687.3	844.3	686.9	846.0
697.3	919.7	696.6	920.2
705.0	943.7	705.1	940.4
152.5	690.5	152.4	691.0
708.2	836.1	706.0	833.5
956.0	964.4	958.5	965.6
955.8	924.2	954.4	920.8
719.0	844.4	716.7	846.5
721.5	659.4	722.9	660.1
734.8	993.7	732.8	994.5
126.4	599.2	122.9	599.2
744.0	928.4	745.6	927.8
124.3	51.3	120.8	51.9
755.1	883.3	754.3	884.4
758.0	941.0	756.7	941.1
759.9	910.1	760.6	908.2
761.4	876.0	761.7	876.4
770.2	917.4	771.4	916.7
95.5	646.3	92.3	644.5
89.8	34.4	86.9	33.4
64.9	676.0	61.5	675.8
933.2	959.7	934.5	960.9
51.6	369.2	51.9	369.3
 8.0	140.6	 7.5	140.7
 8.1	76.6	 7.5	78.3
378.6	445.6	379.1	448.4
318.0	936.3	320.5	936.5
380.0	896.5	380.7	897.8
58.0	54.4	57.6	55.7
10.1	162.5	 6.5	161.9
1010.3	975.1	1010.6	977.2
392.6	636.2	390.5	635.7
396.3	413.4	395.6	413.2
405.4	837.1	408.6	834.9
405.6	607.5	403.9	608.1
410.6	683.4	408.4	684.8
412.7	599.0	413.1	600.7
420.4	737.9	417.1	738.0
424.2	747.4	421.2	746.5
424.4	380.4	424.1	383.5
428.6	995.3	427.0	994.7
888.4	30.6	887.9	26.7
449.4	896.3	452.3	895.3
449.8	713.3	447.6	711.7
452.0	638.3	451.9	639.8
456.0	704.1	452.5	702.7
461.4	729.6	461.4	727.3
462.7	709.6	462.7	710.5
463.1	646.8	460.7	649.8
254.5	284.8	254.0	283.4
469.2	637.7	465.6	638.6
473.4	762.4	471.5	761.9
491.7	758.8	490.0	759.6
832.8	983.4	834.4	984.0
234.6	281.8	235.9	284.3
233.6	68.9	230.1	69.1
505.6	515.5	503.5	516.8
519.6	814.5	521.1	813.1
227.9	126.5	227.0	124.0
539.2	855.7	538.3	855.6
540.6	759.5	540.7	760.3
548.3	837.4	547.9	835.9
586.1	814.5	583.6	813.4
587.0	774.3	586.8	772.1
590.4	116.1	591.5	117.0
601.1	833.6	598.2	832.0
601.8	843.1	600.7	843.1
205.0	107.2	203.5	105.2
622.5	926.6	620.7	923.5
625.1	838.5	627.4	841.5
625.3	640.7	626.8	640.3
784.8	909.5	787.8	909.3
31.8	65.1	33.4	66.0
779.4	984.5	780.6	983.8
182.0	88.2	179.5	87.0
652.1	956.2	653.6	956.8
772.0	899.0	771.4	895.4
941.0	998.9	940.6	999.8
974.7	960.1	978.3	960.0
158.3	68.8	158.4	65.0
693.5	854.7	694.4	857.9
956.4	948.2	956.5	948.5
705.7	867.5	704.4	867.2
707.1	952.5	705.1	954.3
709.6	1018.1	709.0	1014.2
762.4	1011.5	762.4	1012.4
761.5	883.0	759.5	885.8
714.4	839.8	712.4	842.5
720.4	904.0	720.0	903.4
115.9	97.2	118.9	98.2
720.7	886.7	718.9	888.6
722.0	975.2	720.8	975.4
735.9	916.7	733.9	916.5
741.8	957.3	742.5	956.2
743.2	910.3	741.7	911.0
951.2	1007.5	953.1	1009.3
