# opt_x	opt_y	sar_x	sar_y
14.8	153.4	935.3	50.1
16.5	147.3	932.2	144.6
989.2	408.8	 8.3	527.4
985.8	68.2	172.1	349.6
26.1	166.8	253.1	549.6
26.7	161.6	218.6	417.8
28.4	677.2	112.8	49.9
33.0	125.1	230.3	436.4
38.9	689.4	364.8	67.0
948.9	185.9	110.6	655.9
45.2	133.6	54.3	352.9
948.4	261.2	587.1	197.5
48.6	100.9	598.1	939.5
60.3	692.2	139.5	158.0
60.9	802.0	126.8	753.4
62.0	421.6	831.5	169.8
62.1	51.8	592.4	202.6
63.0	85.0	333.3	29.6
886.5	137.4	1001.8	41.0
885.9	405.5	646.6	568.8
875.7	849.1	273.0	165.2
70.0	42.8	627.5	178.8
76.8	145.2	814.5	480.7
78.3	106.6	330.0	24.2
827.2	875.4	463.2	791.0
88.4	34.8	247.9	433.4
93.4	132.4	111.1	144.0
93.4	716.3	991.8	339.0
96.3	94.8	60.1	840.4
793.3	213.0	66.9	166.0
792.0	601.3	77.4	693.2
790.6	763.5	104.1	506.0
790.4	885.2	666.3	531.9
790.0	199.4	335.1	484.6
787.5	130.0	489.6	773.9
784.0	602.1	593.8	193.8
111.6	110.0	833.5	12.9
780.8	577.4	117.5	147.7
776.7	771.6	95.8	517.4
771.6	581.2	89.6	691.9
758.2	172.8	116.5	119.7
742.6	854.8	101.4	491.8
727.1	190.8	621.5	54.4
726.0	221.5	287.2	81.3
132.2	116.5	954.2	250.2
723.0	413.5	347.7	58.5
139.8	117.0	261.3	914.3
713.4	95.8	833.3	127.0
709.9	175.1	94.5	383.7
708.3	159.7	474.7	737.1
143.7	23.2	309.7	424.6
144.0	128.4	727.4	146.6
695.7	653.1	848.3	94.9
690.6	955.9	244.3	330.4
687.5	949.4	78.3	699.8
685.5	663.1	280.9	84.0
679.4	646.7	182.8	600.7
676.7	943.4	84.7	889.6
675.1	801.9	481.2	204.7
656.7	171.7	85.0	697.7
644.5	189.1	462.3	419.4
158.1	45.5	596.9	57.9
643.5	1003.1	959.3	315.2
160.5	40.8	302.6	413.4
160.9	23.4	628.1	187.0
633.6	57.8	96.3	152.9
622.5	619.3	230.0	957.0
165.2	113.5	150.0	623.8
166.6	131.8	149.7	153.6
591.2	219.9	372.0	980.0
588.5	501.3	915.0	236.8
587.3	424.1	360.6	344.3
172.1	939.7	834.3	548.2
581.8	488.1	648.6	263.6
580.1	183.8	992.2	462.0
173.2	29.5	666.5	51.4
574.5	55.0	328.0	743.5
573.6	372.9	323.1	559.0
570.8	518.7	937.7	671.4
551.2	967.5	152.8	730.2
550.1	991.7	973.4	434.1
546.9	450.7	409.7	202.4
182.8	956.7	39.3	691.6
542.2	986.3	362.2	846.9
541.2	578.9	301.2	644.1
539.2	994.7	178.8	593.4
536.7	1007.4	382.6	832.9
524.0	878.1	699.0	179.2
520.6	419.6	237.3	493.4
517.9	53.8	661.9	906.1
503.4	415.6	659.1	553.5
491.3	309.7	393.8	794.4
476.9	201.2	113.8	507.1
446.5	311.2	170.6	791.8
446.5	975.5	65.6	98.9
446.0	810.7	825.2	123.6
442.7	755.6	233.5	530.3
216.3	142.0	496.8	486.4
441.2	978.5	62.3	148.5
218.5	206.4	502.5	939.7
439.3	983.8	97.4	35.6
222.7	113.4	976.4	805.7
415.0	415.0	63.8	36.4
224.3	37.1	412.0	408.8
413.1	737.7	288.0	107.5
411.7	744.6	649.7	199.4
228.5	100.6	67.0	691.9
402.5	382.3	262.7	486.0
231.2	381.8	369.8	573.0
232.1	411.0	655.7	918.9
374.6	87.9	949.9	305.4
369.5	834.7	969.6	473.2
368.0	448.1	812.2	177.6
363.6	975.2	200.7	269.6
362.6	840.0	57.1	550.4
360.3	675.9	276.8	312.1
352.3	73.1	796.2	533.2
349.7	79.2	158.4	718.8
347.4	480.9	30.9	165.8
323.8	103.0	187.7	260.5
314.2	560.9	445.6	188.0
307.4	854.6	828.2	757.6
303.2	228.1	305.6	190.4
299.7	612.8	889.2	95.6
299.6	433.0	636.6	187.1
276.1	168.5	66.4	274.2
275.9	208.2	810.9	170.4
268.9	974.4	322.1	507.8
754.9	43.1	998.6	67.5
621.9	614.3	272.9	42.0
203.4	479.2	39.4	792.1
