# opt_x	opt_y	sar_x	sar_y
165.5	441.5	164.5	441.5
224.5	460.5	224.5	459.5
434.5	221.5	433.5	221.5
550.5	246.5	550.5	245.5
708.5	247.5	708.5	248.5
29.5	449.5	29.5	448.5
46.5	68.5	46.5	69.5
67.5	423.5	67.5	423.5
732.5	309.5	731.5	309.5
100.5	435.5	100.5	436.5
31.5	419.5	31.5	419.5
301.5	386.5	301.5	387.5
194.5	69.5	194.5	68.5
91.5	341.5	92.5	341.5
809.5	141.5	808.5	141.5
270.5	412.5	270.5	413.5
799.5	71.5	798.5	71.5
327.5	361.5	327.5	362.5
151.5	324.5	151.5	324.5
182.5	406.5	183.5	406.5
506.5	487.5	506.5	486.5
355.5	421.5	355.5	422.5
90.5	293.5	89.5	293.5
169.5	334.5	169.5	333.5
